,smiles,6vww_pocket108,name,6vww_pocket9,6vww_pocket100,6vww_pocket22,6vww_pocket154,6vww_pocket18,6vww_pocket57,6vww_pocket143,6vww_pocket3,6vww_pocket157,6vww_pocket37,6vww_pocket1,6vww_pocket13,6vww_pocket6,6vww_pocket17,6vww_pocket130,6vww_pocket23,6vww_pocket71,6vww_pocket62,6vww_pocket135,6vww_pocket11,6vww_pocket156,6vww_pocket8
42,O=C(c1cc(Br)c[nH]1)N1CCCC1c1ccsc1,7.545890808105469,Z422751824,8.286762237548826,10.015691757202148,6.861451625823975,5.615803241729736,8.726779937744139,10.081109046936037,7.718101024627685,7.720487594604492,7.117950916290282,5.8547420501708975,7.640162467956543,8.556964874267576,10.052980422973633,9.525595664978027,7.390337944030763,7.360812187194824,7.547487258911133,10.321754455566406,4.645729064941406,9.389089584350586,6.258843421936035,7.8017377853393555
43,O=C(c1cc(Br)c[nH]1)N1CCN(c2nccs2)CC1,7.123739242553711,Z221245522,8.566070556640625,10.985490798950195,8.852483749389648,5.485384941101074,8.611028671264647,11.031024932861328,7.108405113220215,6.634657859802246,7.410367965698242,6.788280487060548,7.0211238861083975,9.008097648620604,9.81396484375,8.820342063903809,6.801172733306885,8.849555015563965,7.347007751464844,11.113380432128906,4.979818344116211,8.586578369140625,5.535665512084961,6.7678489685058585
44,O=C(c1cc(Br)c[nH]1)N1CCN(c2nnnn2-c2ccccc2)CC1,6.456515312194824,Z372529138,7.67988395690918,10.894437789916992,8.515893936157228,5.322606563568115,9.808090209960938,10.756146430969238,6.5572872161865225,6.257890701293945,6.219949722290039,5.911006450653076,7.0958404541015625,8.505311965942383,10.267189025878906,10.270862579345703,6.342550277709961,8.389069557189941,6.360318183898926,10.88654613494873,-0.0,10.01436996459961,5.42683219909668,7.552486419677732
45,O=C(c1cc(Br)c[nH]1)N1CCCSCC1,6.7507100105285645,Z431857402,7.252835273742676,9.851792335510254,7.623564720153809,5.964718818664551,8.003818511962889,10.293837547302246,6.800692558288574,6.832294940948486,6.598450660705566,6.903884410858152,7.008594036102295,9.38920783996582,10.040321350097656,8.257833480834961,6.269925594329834,7.2134032249450675,6.558720588684082,9.757776260375977,4.482168197631836,8.383275985717772,5.951125144958496,6.957652568817139
46,Cn1ccnc1C(NC(=O)c1cc(Br)c[nH]1)c1ccccc1,6.476255416870117,Z167376528,9.868810653686523,10.120101928710938,6.818756103515625,6.0624046325683585,9.17617416381836,8.913719177246094,6.382944583892822,7.698256492614746,6.721963882446289,6.891622066497803,7.610077381134032,10.261547088623047,10.233535766601562,12.371589660644533,7.685262680053711,6.820046424865723,6.432861328125,10.12283420562744,-0.0,12.622669219970705,5.844106674194336,7.642394542694093
47,CC(NC(=O)c1cc(Br)c[nH]1)c1nnc2ccccn12,6.960462093353272,Z146475342,8.196074485778809,9.862966537475586,8.016283988952638,6.746876239776611,9.200188636779783,10.258777618408203,6.728078842163086,8.128225326538086,6.795342445373535,7.1171979904174805,8.145199775695799,9.420413970947266,8.263447761535645,10.441913604736328,8.608213424682617,9.079240798950195,7.233028888702393,9.56228733062744,5.609331130981445,10.575576782226562,6.357250213623048,8.020238876342772
48,O=C(NCC1Cc2ccccc2O1)c1cc(Br)c[nH]1,7.9790287017822275,Z367062842,9.453513145446776,10.525274276733398,9.382604598999023,7.383149147033691,9.902053833007812,11.510343551635742,8.04783821105957,7.9395508766174325,7.069845676422119,7.039810657501223,8.002096176147461,10.709628105163574,10.858448028564453,9.72476863861084,7.446298599243164,9.13250732421875,8.084768295288086,11.145463943481444,8.012232780456543,9.943999290466307,7.392621040344237,8.170038223266603
49,O=C(NCCCc1nc2ccccc2[nH]1)c1cc(Br)c[nH]1,10.864265441894533,Z226354272,9.460172653198242,10.317564010620117,9.692611694335938,7.4367737770080575,9.84122085571289,10.556859970092773,10.693413734436037,8.840086936950684,8.777985572814941,9.35711669921875,9.02311897277832,10.90363883972168,9.037914276123047,11.10112762451172,8.726363182067871,9.95116901397705,10.434741973876953,10.273964881896973,6.063626289367676,9.521082878112793,7.302678108215332,9.055126190185547
50,O=C(NCCNc1ncccn1)c1cc(Br)c[nH]1,8.447851181030272,Z423697498,9.090481758117676,9.782068252563477,8.593131065368652,8.10291576385498,9.198896408081056,10.268686294555664,8.628922462463379,8.285453796386719,8.977803230285645,7.70130729675293,9.856657028198242,8.952105522155762,9.923088073730467,10.955178260803224,7.986672401428223,8.663370132446289,8.770105361938478,10.055018424987793,6.649554252624513,11.059560775756836,7.492428779602051,9.926399230957033
51,Cc1cc(C)n(-c2ccc(CCNC(=O)c3cc(Br)c[nH]3)cc2)n1,7.331369400024414,Z421662278,9.250326156616213,9.609797477722168,7.588005065917969,6.400428295135497,8.934920310974121,8.364969253540039,6.635238170623777,8.31184196472168,8.891202926635742,6.0426902770996085,8.9386568069458,9.490859031677246,9.309619903564453,9.051925659179688,7.429786682128906,7.752166748046875,6.780036926269531,9.53305435180664,4.440976142883301,9.163454055786133,5.79840087890625,9.000625610351562
